,head,relation,tail
0,0,0,252
1,0,0,253
2,0,0,254
3,0,0,255
4,0,0,256
5,0,0,257
6,0,0,258
7,1,0,259
8,1,0,260
9,1,0,261
10,1,0,262
11,1,0,263
12,1,0,264
13,1,0,265
14,1,0,266
15,1,0,267
16,1,0,268
17,1,0,269
18,1,0,270
19,1,0,271
20,2,0,252
21,2,0,272
22,2,0,273
23,2,0,274
24,2,0,275
25,2,0,276
26,2,0,277
27,2,0,278
28,2,0,279
29,2,0,280
30,2,0,281
31,2,0,282
32,2,0,283
33,2,0,284
34,3,0,285
35,3,0,272
36,3,0,286
37,3,0,287
38,3,0,288
39,3,0,289
40,3,0,290
41,3,0,291
42,3,0,292
43,3,0,293
44,3,0,294
45,3,0,295
46,3,0,296
47,3,0,255
48,3,0,297
49,3,0,298
50,3,0,299
51,3,0,300
52,3,0,301
53,3,0,302
54,3,0,303
55,4,0,272
56,4,0,304
57,4,0,253
58,4,0,305
59,4,0,306
60,4,0,254
61,4,0,307
62,4,0,308
63,4,0,309
64,4,0,310
65,5,0,259
66,5,0,311
67,5,0,312
68,5,0,313
69,5,0,314
70,5,0,315
71,5,0,316
72,5,0,317
73,5,0,318
74,5,0,319
75,6,0,320
76,6,0,274
77,6,0,313
78,6,0,321
79,6,0,322
80,6,0,323
81,6,0,324
82,6,0,277
83,6,0,325
84,6,0,326
85,6,0,255
86,6,0,284
87,6,0,327
88,7,0,272
89,7,0,328
90,7,0,329
91,7,0,330
92,7,0,331
93,7,0,332
94,7,0,333
95,7,0,334
96,7,0,322
97,7,0,335
98,7,0,336
99,7,0,337
100,7,0,338
101,7,0,339
102,7,0,340
103,7,0,341
104,7,0,342
105,7,0,343
106,7,0,344
107,7,0,325
108,7,0,345
109,7,0,346
110,7,0,347
111,7,0,257
112,7,0,348
113,7,0,349
114,7,0,350
115,7,0,298
116,8,0,351
117,8,0,352
118,8,0,353
119,8,0,354
120,8,0,355
121,8,0,356
122,8,0,357
123,9,0,358
124,9,0,359
125,9,0,360
126,9,0,320
127,9,0,361
128,9,0,362
129,9,0,363
130,10,0,364
131,10,0,259
132,10,0,264
133,10,0,271
134,10,0,365
135,10,0,366
136,11,0,259
137,11,0,260
138,11,0,261
139,11,0,367
140,11,0,368
141,11,0,288
142,11,0,369
143,11,0,370
144,11,0,312
145,11,0,371
146,11,0,311
147,11,0,372
148,11,0,263
149,11,0,373
150,11,0,354
151,11,0,253
152,11,0,329
153,11,0,306
154,11,0,313
155,11,0,374
156,11,0,375
157,11,0,376
158,11,0,271
159,11,0,377
160,11,0,316
161,11,0,378
162,11,0,275
163,11,0,379
164,11,0,380
165,11,0,321
166,11,0,315
167,11,0,290
168,11,0,334
169,11,0,381
170,11,0,362
171,11,0,308
172,11,0,317
173,11,0,335
174,11,0,338
175,11,0,341
176,11,0,277
177,11,0,342
178,11,0,292
179,11,0,382
180,11,0,383
181,11,0,384
182,11,0,385
183,11,0,386
184,11,0,387
185,11,0,388
186,11,0,270
187,11,0,326
188,12,0,272
189,12,0,288
190,12,0,369
191,12,0,389
192,12,0,375
193,12,0,390
194,12,0,391
195,12,0,313
196,12,0,392
197,12,0,393
198,12,0,323
199,13,0,394
200,13,0,354
201,13,0,395
202,13,0,312
203,13,0,373
204,13,0,269
205,13,0,396
206,14,0,358
207,14,0,397
208,14,0,398
209,14,0,304
210,14,0,289
211,15,0,252
212,15,0,263
213,15,0,253
214,15,0,399
215,16,0,328
216,16,0,358
217,16,0,351
218,16,0,311
219,16,0,394
220,16,0,259
221,16,0,400
222,16,0,370
223,16,0,287
224,16,0,288
225,16,0,401
226,16,0,372
227,16,0,312
228,16,0,371
229,16,0,395
230,16,0,253
231,16,0,329
232,16,0,313
233,16,0,306
234,16,0,402
235,16,0,403
236,16,0,316
237,16,0,404
238,16,0,332
239,16,0,334
240,16,0,405
241,16,0,381
242,16,0,363
243,16,0,337
244,16,0,406
245,16,0,407
246,16,0,317
247,16,0,341
248,16,0,408
249,16,0,409
250,16,0,388
251,16,0,410
252,16,0,384
253,16,0,270
254,16,0,386
255,16,0,411
256,16,0,294
257,16,0,412
258,16,0,345
259,16,0,413
260,16,0,414
261,16,0,415
262,16,0,416
263,16,0,417
264,16,0,418
265,16,0,419
266,16,0,420
267,16,0,421
268,16,0,257
269,16,0,422
270,16,0,349
271,16,0,423
272,16,0,327
273,16,0,258
274,16,0,424
275,16,0,425
276,16,0,310
277,17,0,364
278,17,0,361
279,17,0,397
280,17,0,379
281,17,0,426
282,17,0,427
283,17,0,283
284,18,0,345
285,18,0,297
286,18,0,280
287,18,0,428
288,18,0,429
289,18,0,430
290,18,0,302
291,19,0,268
292,19,0,289
293,19,0,431
294,19,0,343
295,19,0,326
296,19,0,420
297,20,0,322
298,20,0,432
299,20,0,384
300,20,0,429
301,21,0,397
302,21,0,304
303,21,0,433
304,21,0,402
305,21,0,274
306,21,0,271
307,21,0,320
308,21,0,434
309,21,0,435
310,21,0,436
311,21,0,410
312,21,0,437
313,21,0,256
314,21,0,283
315,22,0,311
316,22,0,288
317,22,0,286
318,22,0,353
319,22,0,438
320,23,0,404
321,23,0,439
322,23,0,440
323,23,0,441
324,23,0,408
325,23,0,442
326,23,0,300
327,23,0,301
328,24,0,443
329,24,0,313
330,24,0,336
331,24,0,342
332,24,0,319
333,24,0,419
334,24,0,424
335,25,0,367
336,25,0,260
337,25,0,370
338,25,0,369
339,25,0,304
340,25,0,305
341,25,0,402
342,25,0,289
343,26,0,273
344,26,0,354
345,26,0,254
346,26,0,300
347,26,0,349
348,27,0,333
349,27,0,444
350,27,0,445
351,27,0,268
352,27,0,386
353,27,0,419
354,27,0,421
355,27,0,446
356,27,0,422
357,27,0,447
358,27,0,423
359,27,0,448
360,27,0,300
361,28,0,393
362,28,0,275
363,28,0,355
364,28,0,449
365,28,0,450
366,29,0,451
367,29,0,394
368,29,0,360
369,29,0,452
370,29,0,334
371,29,0,362
372,29,0,355
373,29,0,453
374,29,0,366
375,30,0,454
376,30,0,370
377,30,0,274
378,30,0,455
379,30,0,379
380,30,0,456
381,30,0,457
382,30,0,309
383,30,0,270
384,30,0,345
385,30,0,298
386,30,0,419
387,30,0,280
388,30,0,425
389,31,0,454
390,31,0,351
391,31,0,458
392,31,0,459
393,31,0,460
394,32,0,401
395,32,0,352
396,32,0,461
397,32,0,260
398,32,0,271
399,32,0,273
400,32,0,369
401,33,0,286
402,33,0,462
403,33,0,433
404,33,0,463
405,34,0,451
406,34,0,464
407,34,0,465
408,34,0,398
409,34,0,369
410,34,0,371
411,34,0,395
412,34,0,389
413,34,0,466
414,34,0,254
415,34,0,271
416,34,0,266
417,34,0,404
418,34,0,333
419,34,0,337
420,34,0,308
421,34,0,467
422,34,0,340
423,34,0,268
424,34,0,342
425,34,0,408
426,34,0,432
427,34,0,428
428,34,0,448
429,35,0,454
430,35,0,304
431,35,0,435
432,35,0,466
433,35,0,468
434,35,0,295
435,35,0,469
436,36,0,443
437,37,0,470
438,37,0,471
439,37,0,472
440,37,0,277
441,37,0,295
442,37,0,412
443,37,0,463
444,37,0,256
445,37,0,473
446,37,0,349
447,38,0,474
448,38,0,475
449,39,0,464
450,39,0,328
451,39,0,400
452,39,0,397
453,39,0,260
454,39,0,367
455,39,0,352
456,39,0,476
457,39,0,477
458,39,0,478
459,39,0,387
460,39,0,386
461,39,0,479
462,39,0,255
463,39,0,480
464,39,0,297
465,39,0,447
466,39,0,481
467,40,0,451
468,40,0,394
469,40,0,330
470,40,0,266
471,40,0,316
472,40,0,267
473,40,0,321
474,40,0,362
475,40,0,336
476,40,0,318
477,40,0,308
478,40,0,407
479,40,0,341
480,40,0,338
481,40,0,343
482,40,0,270
483,40,0,294
484,40,0,325
485,40,0,463
486,40,0,416
487,40,0,482
488,40,0,347
489,40,0,257
490,40,0,447
491,40,0,366
492,41,0,328
493,41,0,286
494,41,0,352
495,41,0,373
496,41,0,483
497,41,0,435
498,41,0,265
499,41,0,484
500,42,0,287
501,42,0,371
502,42,0,265
503,42,0,399
504,42,0,485
505,42,0,471
506,42,0,405
507,42,0,304
508,42,0,382
509,42,0,478
510,42,0,290
511,42,0,406
512,42,0,486
513,42,0,474
514,42,0,411
515,42,0,487
516,42,0,488
517,42,0,303
518,42,0,475
519,43,0,262
520,43,0,395
521,43,0,359
522,43,0,462
523,43,0,376
524,43,0,292
525,43,0,460
526,44,0,288
527,44,0,307
528,44,0,489
529,44,0,490
530,45,0,288
531,45,0,367
532,45,0,259
533,45,0,370
534,45,0,351
535,45,0,274
536,45,0,346
537,45,0,350
538,46,0,491
539,46,0,492
540,46,0,493
541,46,0,486
542,46,0,271
543,47,0,451
544,47,0,328
545,47,0,494
546,47,0,495
