,head,relation,tail
0,0,0,94219
1,0,0,94220
2,0,0,94221
3,0,0,94222
4,0,0,94223
5,1,0,94224
6,1,0,94225
7,1,0,94226
8,1,0,94227
9,1,0,94228
10,2,0,94229
11,2,0,94230
12,3,0,94231
13,3,0,94232
14,3,0,94233
15,3,0,94234
16,3,0,94235
17,3,0,94236
18,3,0,94237
19,3,0,94238
20,3,0,94239
21,3,0,94240
22,3,0,94241
23,3,0,94242
24,3,0,94243
25,3,0,94244
26,3,0,94245
27,3,0,94246
28,3,0,94247
29,3,0,94248
30,3,0,94249
31,3,0,94250
32,3,0,94251
33,3,0,94252
34,3,0,94253
35,3,0,94254
36,3,0,94255
37,3,0,94256
38,3,0,94257
39,3,0,94258
40,3,0,94259
41,3,0,94260
42,3,0,94261
43,3,0,94262
44,3,0,94263
45,3,0,94264
46,3,0,94265
47,3,0,94266
48,3,0,94267
49,4,0,94268
50,4,0,94269
51,4,0,94270
52,4,0,94271
53,5,0,94272
54,5,0,94273
55,5,0,94274
56,5,0,94275
57,5,0,94276
58,5,0,94277
59,5,0,94278
60,5,0,94279
61,5,0,94280
62,5,0,94281
63,5,0,94282
64,5,0,94283
65,5,0,94284
66,5,0,94285
67,5,0,94286
68,5,0,94287
69,6,0,94288
70,6,0,94289
71,6,0,94290
72,6,0,94291
73,6,0,94292
74,6,0,94293
75,6,0,94294
76,6,0,94295
77,6,0,94296
78,6,0,94297
79,6,0,94298
80,6,0,94299
81,6,0,94300
82,6,0,94301
83,6,0,94302
84,6,0,94303
85,6,0,94304
86,6,0,94305
87,6,0,94306
88,6,0,94307
89,6,0,94308
90,6,0,94309
91,6,0,94310
92,6,0,94311
93,7,0,94312
94,7,0,94313
95,7,0,94314
96,7,0,94315
97,7,0,94316
98,7,0,94317
99,7,0,94318
100,7,0,94319
101,7,0,94320
102,7,0,94321
103,7,0,94322
104,7,0,94323
105,7,0,94324
106,7,0,94325
107,7,0,94326
108,8,0,94327
109,8,0,94328
110,8,0,94329
111,8,0,94330
112,8,0,94331
113,8,0,94332
114,8,0,94333
115,9,0,94334
116,9,0,94335
117,9,0,94336
118,9,0,94270
119,10,0,94337
120,10,0,94338
121,10,0,94339
122,10,0,94340
123,10,0,94341
124,10,0,94342
125,10,0,94343
126,10,0,94344
127,11,0,94345
128,11,0,94346
129,11,0,94347
130,11,0,94348
131,11,0,94349
132,11,0,94271
133,12,0,94350
134,12,0,94351
135,12,0,94352
136,12,0,94353
137,12,0,94354
138,12,0,94355
139,12,0,94356
140,12,0,94357
141,12,0,94358
142,12,0,94291
143,12,0,94359
144,12,0,94360
145,13,0,94361
146,13,0,94362
147,13,0,94363
148,13,0,94364
149,13,0,94365
150,13,0,94366
151,13,0,94367
152,13,0,94368
153,14,0,94369
154,14,0,94370
155,14,0,94371
156,15,0,94372
157,15,0,94373
158,15,0,94374
159,15,0,94375
160,15,0,94376
161,15,0,94377
162,15,0,94378
163,15,0,94379
164,16,0,94380
165,16,0,94381
166,16,0,94382
167,16,0,94383
168,16,0,94384
169,16,0,94385
170,16,0,94386
171,16,0,94387
172,16,0,94388
173,16,0,94389
174,16,0,94390
175,17,0,94391
176,17,0,94392
177,17,0,94393
178,17,0,94354
179,17,0,94394
180,17,0,94395
181,17,0,94396
182,18,0,94397
183,18,0,94398
184,18,0,94399
185,18,0,94376
186,18,0,94400
187,18,0,94401
188,18,0,94402
189,18,0,94389
190,18,0,94403
191,18,0,94404
192,18,0,94363
193,18,0,94405
194,18,0,94406
195,18,0,94407
196,19,0,94408
197,19,0,94409
198,19,0,94410
199,19,0,94411
200,19,0,94412
201,19,0,94413
202,19,0,94414
203,19,0,94415
204,19,0,94416
205,19,0,94417
206,19,0,94342
207,19,0,94418
208,19,0,94419
209,19,0,94420
210,19,0,94421
211,19,0,94270
212,19,0,94422
213,19,0,94423
214,19,0,94424
215,20,0,94425
216,20,0,94426
217,20,0,94427
218,20,0,94428
219,20,0,94429
220,20,0,94430
221,20,0,94431
222,20,0,94432
223,21,0,94310
224,21,0,94433
225,21,0,94434
226,21,0,94435
227,21,0,94436
228,21,0,94437
229,21,0,94438
230,21,0,94439
231,21,0,94440
232,21,0,94441
233,21,0,94442
234,22,0,94443
235,22,0,94444
236,22,0,94445
237,22,0,94446
238,22,0,94447
239,22,0,94448
240,22,0,94449
241,22,0,94450
242,22,0,94451
243,22,0,94452
244,22,0,94453
245,23,0,94454
246,23,0,94455
247,23,0,94456
248,23,0,94457
249,23,0,94458
250,23,0,94459
251,23,0,94460
252,23,0,94461
253,23,0,94462
254,24,0,94463
255,24,0,94464
256,24,0,94465
257,24,0,94466
258,24,0,94467
259,24,0,94468
260,24,0,94469
261,24,0,94470
262,24,0,94471
263,24,0,94472
264,24,0,94473
265,24,0,94474
266,24,0,94475
267,24,0,94476
268,24,0,94477
269,24,0,94478
270,24,0,94479
271,24,0,94480
272,24,0,94481
