,head,relation,tail
0,Product details,is parent of,Nail compounds
1,Nail compounds,is parent of,Acrylic
2,Nail compounds,is parent of,Artistry jargod
3,Nail compounds,is parent of,Flawless nail
4,Nail compounds,is parent of,Polish set
5,Product details,is parent of,Cover details
6,Cover details,is parent of,Beauty silky
7,Cover details,is parent of,Complexion cosmocos
8,Cover details,is parent of,Sun protection
9,Cover details,is parent of,Cream delivers
10,Product details,is parent of,Skin details
11,Skin details,is parent of,Youthful complexion
12,Skin details,is parent of,Smoother skin
13,Skin details,is parent of,Serum potent
14,Skin details,is parent of,Ounces serum
15,Skin details,is parent of,Retinol
16,Product details,is parent of,Skin care solutions
17,Skin care solutions,is parent of,Fine mist
18,Skin care solutions,is parent of,Refilling needs
19,Skin care solutions,is parent of,Glass spray
20,Skin care solutions,is parent of,Convenient pack
21,Skin care solutions,is parent of,Stylish solution
22,Product details,is parent of,Skin ingredients
23,Skin ingredients,is parent of,Hyaluronic acid
24,Skin ingredients,is parent of,Indulge skin
25,Skin ingredients,is parent of,Aqua boosting
26,Skin ingredients,is parent of,Sedum extract
27,Skin ingredients,is parent of,Ounces celimax
28,Product details,is parent of,Anti-aging products
29,Anti-aging products,is parent of,Collagen
30,Anti-aging products,is parent of,Dose resveratrol
31,Anti-aging products,is parent of,Serum provides
32,Anti-aging products,is parent of,Aging elixir
33,Anti-aging products,is parent of,Complexion merlot
34,Product details,is parent of,Bath & Spa Products
35,Bath & Spa Products,is parent of,Ounces bath
36,Bath & Spa Products,is parent of,Spa experience
37,Bath & Spa Products,is parent of,Pillow meticulously
38,Bath & Spa Products,is parent of,Bathtub preventing
39,Bath & Spa Products,is parent of,Cups pillow
40,Product details,is parent of,Nail Care Products
41,Nail Care Products,is parent of,Manicure home
42,Nail Care Products,is parent of,Festive hues
43,Nail Care Products,is parent of,Polish set
44,Nail Care Products,is parent of,Anzuo
45,Nail Care Products,is parent of,Popular gel
46,Product details,is parent of,Beauty Accessories
47,Beauty Accessories,is parent of,Vitamins bottle
48,Beauty Accessories,is parent of,Skycy
49,Beauty Accessories,is parent of,Comfortably carry
50,Beauty Accessories,is parent of,Portable travel
51,Beauty Accessories,is parent of,Bottle measures
52,Starter kit,is parent of,French manicures
53,French manicures,is parent of,Colors kit
54,French manicures,is parent of,Dip powder
55,French manicures,is parent of,Manicures home
56,Product details,is parent of,Lotion & Skin Revitalizing
57,Lotion & Skin Revitalizing,is parent of,Lotion travel
58,Lotion & Skin Revitalizing,is parent of,Skin revitalizing
59,Lotion & Skin Revitalizing,is parent of,Perfect pampering
60,Lotion & Skin Revitalizing,is parent of,Spanature green
61,Lotion & Skin Revitalizing,is parent of,Tea hand
62,Product details,is parent of,Lash & Mascara
63,Lash & Mascara,is parent of,Black waterproof
64,Lash & Mascara,is parent of,Lash stunning
65,Lash & Mascara,is parent of,Mascara resists
