,head,relation,tail
0,headset_headsetdescription_headphone_microphone_logitech,subcategory of,playstation_gameplay_xbox_gaming_nintendo
1,playstation_nintendo_wii_gaming_gameplay,subcategory of,playstation_gameplay_xbox_gaming_nintendo
2,pricing_discount_price_polk_xbox,subcategory of,playstation_nintendo_wii_gaming_gameplay
3,gameplay_games_gaming_game_nintendo,subcategory of,playstation_nintendo_wii_gaming_gameplay
4,playstation_gameplay_games_gaming_game,subcategory of,gameplay_games_gaming_game_nintendo
5,tasmanian_tiger_tigerdescription_tigers_boomerang,subcategory of,gameplay_games_gaming_game_nintendo
6,ps5_ps4_ps3_cord_connector,subcategory of,playstation_gameplay_games_gaming_game
7,playstation_wii_games_gameplay_nintendo,subcategory of,playstation_gameplay_games_gaming_game
8,wii_nintendo_xbox_gaming_playstation,subcategory of,playstation_wii_games_gameplay_nintendo
9,nintendo_pricing_price_nes_discount,subcategory of,playstation_wii_games_gameplay_nintendo
10,keycaps_keycap_keyboards_keyboard_cho26key,subcategory of,wii_nintendo_xbox_gaming_playstation
11,nintendo_wii_gameplay_games_game,subcategory of,wii_nintendo_xbox_gaming_playstation
12,gameplay_wii_nintendo_playstation_gaming,subcategory of,nintendo_wii_gameplay_games_game
13,sly_playstation_thief_thieves_mischievous,subcategory of,nintendo_wii_gameplay_games_game
14,13th_13thfans_friday_jason_slasher,subcategory of,gameplay_wii_nintendo_playstation_gaming
15,steins_gate_future_psv_novels,subcategory of,gameplay_wii_nintendo_playstation_gaming
16,13th_13thfans_friday_jason_slasher,subcategory of,13th_13thfans_friday_jason_slasher
17,playstation_wii_nintendo_games_gameplay,subcategory of,13th_13thfans_friday_jason_slasher
18,gameplay_nintendo_games_wii_gaming,subcategory of,playstation_wii_nintendo_games_gameplay
19,hatsune_miku_playstation_sega_vita,subcategory of,playstation_wii_nintendo_games_gameplay
20,gameplay_games_playstation_wii_gaming,subcategory of,gameplay_nintendo_games_wii_gaming
21,shantae_shantaedescription_ultimate_genie_platformer,subcategory of,gameplay_nintendo_games_wii_gaming
