head,relation,tail
Product Details,is parent of,Hardware
Hardware,is parent of,Xbox
Xbox,is parent of,Xbox Series X
Xbox,is parent of,Xbox Series S
Xbox,is parent of,Xbox One
Hardware,is parent of,PlayStation
PlayStation,is parent of,PlayStation 5
PlayStation,is parent of,PlayStation 4
PlayStation,is parent of,PlayStation Vita
Hardware,is parent of,Nintendo
Nintendo,is parent of,Nintendo Switch
Nintendo Switch,is parent of,Nintendo Switch
Nintendo Switch,is parent of,Nintendo Switch Lite
Nintendo Switch,is parent of,Nintendo 3DS
Hardware,is parent of,PC Games
Hardware,is parent of,Gaming Peripherals
Gaming Peripherals,is parent of,Headsets
Gaming Peripherals,is parent of,Controllers
Gaming Peripherals,is parent of,VR Headsets
Hardware,is parent of,Gaming Accessories
Gaming Accessories,is parent of,Controllers
Gaming Accessories,is parent of,VR Headsets
Hardware,is parent of,Games
Games,is parent of,Xbox Games
Games,is parent of,PlayStation Games
Games,is parent of,Nintendo Games
Hardware,is parent of,Storage Cases
Storage Cases,is parent of,Switch Cases
Hardware,is parent of,Headsets
Headsets,is parent of,Gaming Headsets
Hardware,is parent of,Controllers
Controllers,is parent of,Xbox Controllers
Controllers,is parent of,PlayStation Controllers
Controllers,is parent of,Nintendo Controllers
Hardware,is parent of,VR Headsets
VR Headsets,is parent of,VR Headsets
B00Z9TLVK0,related to,Games
B07H93H878,related to,Controllers
B07H93H878,related to,Xbox
B07H93H878,related to,PlayStation
B07H93H878,related to,Nintendo
B07H93H878,related to,Gaming Accessories
B07H93H878,related to,Games
B07H93H878,related to,Xbox Controllers
B07H93H878,related to,PlayStation Controllers
B07H93H878,related to,Nintendo Controllers
B07H93H878,related to,Xbox Series X
B07H93H878,related to,Xbox Series S
B07H93H878,related to,Xbox One
B07H93H878,related to,PlayStation 5
B07H93H878,related to,PlayStation 4
B07H93H878,related to,PC Games
B07H93H878,related to,Xbox Games
B07H93H878,related to,PlayStation Games
B00006969T,related to,Games
B00006969T,related to,Nintendo
