head,relation,tail
Xbox,is parent of,Xbox Series X
Xbox,is parent of,Xbox Series S
Xbox,is parent of,Xbox One
Xbox,is parent of,Xbox Live
Playstation,is parent of,Playstation 5
Playstation,is parent of,Playstation 4
Playstation,is parent of,Playstation Plus
Nintendo,is parent of,Nintendo Switch
Nintendo,is parent of,Nintendo GameCube
Nintendo,is parent of,Nintendo DS
Nintendo,is parent of,Nintendo Wii
PC Gaming,is parent of,PC Games
PC Gaming,is parent of,PC Accessories
PC Accessories,is parent of,PC Games - Xbox
PC Accessories,is parent of,PC Games - Playstation
PC Accessories,is parent of,PC Games - Nintendo
PC Accessories,is parent of,PC Accessories - Xbox
PC Accessories,is parent of,PC Accessories - Playstation
PC Accessories,is parent of,PC Accessories - Nintendo
Accessories,is parent of,Controller Accessories
Controller Accessories,is parent of,Controller Accessories - Xbox
Controller Accessories,is parent of,Controller Accessories - Playstation
Controller Accessories,is parent of,Controller Accessories - Nintendo
Accessories,is parent of,Headsets
Headsets,is parent of,Headsets - Xbox
Headsets,is parent of,Headsets - Playstation
Headsets,is parent of,Headsets - Nintendo
Accessories,is parent of,Other Accessories
Other Accessories,is parent of,Screen Protection
Other Accessories,is parent of,Keyboard
Other Accessories,is parent of,Tool Kit
Accessories,is parent of,Cable
Cable,is parent of,Cable Released
B00Z9TLVK0,related to,PC Gaming
B00Z9TLVK0,related to,Playstation
B00Z9TLVK0,related to,Nintendo
B00Z9TLVK0,related to,PC Games
B00Z9TLVK0,related to,Nintendo Wii
B00Z9TLVK0,related to,PC Games - Xbox
B00Z9TLVK0,related to,PC Games - Playstation
B00Z9TLVK0,related to,PC Games - Nintendo
B07H93H878,related to,Xbox
B07H93H878,related to,Playstation
B07H93H878,related to,Nintendo
B07H93H878,related to,PC Gaming
B07H93H878,related to,Controller Accessories
B07H93H878,related to,Xbox Series X
B07H93H878,related to,Xbox Series S
B07H93H878,related to,Xbox One
B07H93H878,related to,Xbox Live
B07H93H878,related to,Playstation 5
B07H93H878,related to,Playstation 4
B07H93H878,related to,Playstation Plus
B07H93H878,related to,PC Games
B07H93H878,related to,PC Games - Xbox
B07H93H878,related to,PC Games - Playstation
B07H93H878,related to,PC Games - Nintendo
B07H93H878,related to,PC Accessories - Xbox
B07H93H878,related to,PC Accessories - Playstation
B07H93H878,related to,PC Accessories - Nintendo
B07H93H878,related to,Controller Accessories - Xbox
B07H93H878,related to,Headsets - Xbox
B07H93H878,related to,Controller Accessories - Playstation
B07H93H878,related to,Controller Accessories - Nintendo
B00006969T,related to,PC Gaming
B00006969T,related to,Nintendo
B00006969T,related to,Playstation
B00006969T,related to,Xbox
B00006969T,related to,Playstation 4
B00006969T,related to,Nintendo Switch
B00006969T,related to,Nintendo GameCube
B00006969T,related to,Nintendo DS
B00006969T,related to,Nintendo Wii
B00006969T,related to,PC Games - Nintendo
B00006969T,related to,PC Accessories - Nintendo
B00006969T,related to,Controller Accessories - Nintendo
B00006969T,related to,Headsets - Nintendo
B00006969T,related to,Cable Released
B00006969T,related to,Playstation 5
B00006969T,related to,PC Games
B00006969T,related to,PC Games - Xbox
B00006969T,related to,PC Games - Playstation
B00BJH85SW,related to,Nintendo
B00BJH85SW,related to,PC Gaming
B00BJH85SW,related to,Nintendo Switch
B00BJH85SW,related to,Nintendo GameCube
B00BJH85SW,related to,Nintendo DS
B00BJH85SW,related to,Nintendo Wii
B00BJH85SW,related to,PC Games - Nintendo
B00BJH85SW,related to,PC Accessories - Nintendo
B00BJH85SW,related to,Controller Accessories - Nintendo
B00BJH85SW,related to,Headsets - Nintendo
B00BJH85SW,related to,PC Games
B00BJH85SW,related to,PC Games - Xbox
B001EYUX4Y,related to,PC Gaming
B001EYUX4Y,related to,PC Games
B001ECIV54,related to,Playstation
B001ECIV54,related to,Nintendo
B001ECIV54,related to,PC Gaming
B001ECIV54,related to,Playstation 5
B001ECIV54,related to,Playstation 4
B001ECIV54,related to,Playstation Plus
B001ECIV54,related to,PC Games - Playstation
B001ECIV54,related to,PC Accessories - Playstation
B001ECIV54,related to,Controller Accessories - Playstation
B001ECIV54,related to,Headsets - Playstation
B001ECIV54,related to,Nintendo Wii
B001ECIV54,related to,PC Games
B001ECIV54,related to,PC Games - Xbox
B001ECIV54,related to,PC Games - Nintendo
B01N9HGQTM,related to,PC Gaming
B01N9HGQTM,related to,Xbox
B01N9HGQTM,related to,Playstation
B01N9HGQTM,related to,Nintendo
B01N9HGQTM,related to,Controller Accessories
B01N9HGQTM,related to,PC Games
