head,relation,tail
B00Z9TLVK0,platform,
,platform,PlayStation 4
B00Z9TLVK0,platform,NBA 2K17
NBA 2K17,platform,PlayStation 4
B00Z9TLVK0,platform,NBA 2K16
NBA 2K16,platform,PlayStation 4
B07H93H878,part of the series,
,part of the series,Xbox One
B07H93H878,has part,Xbox One
Xbox One,has part,Xbox One X
B00006969T,publisher,
,publisher,Konami
B00006969T,publisher,Konami Collector's Series
Konami Collector's Series,publisher,Konami
B00006969T,publication date,
,publication date,"December 2, 2002"
B00006969T,publication date,Konami Collector's Series
Konami Collector's Series,publication date,"December 2, 2002"
B00006969T,subsidiary,
,subsidiary,Square Enix
B00006969T,parent organization,Square Enix
Square Enix,parent organization,Konami
B07DL353F8,platform,
B00BJH85SW,platform,
,platform,Nintendo 3DS
B00BJH85SW,platform,Turbo: Super Stunt Squad
Turbo: Super Stunt Squad,platform,Nintendo 3DS
B001EYUX4Y,developer,
,developer,Relic Entertainment
B001EYUX4Y,developer,"Warhammer 40,000 Dawn of War"
"Warhammer 40,000 Dawn of War",developer,Relic Entertainment
B001EYUX4Y,genre,
,genre,real-time strategy
B001EYUX4Y,genre,"Warhammer 40,000 Dawn of War"
"Warhammer 40,000 Dawn of War",genre,real-time strategy
B001ECIV54,publisher,
,publisher,THQ
B01N9HGQTM,"dissolved, abolished or demolished date",
,"dissolved, abolished or demolished date","March 3, 2017"
B01N9HGQTM,"dissolved, abolished or demolished date",EEEKit
EEEKit,"dissolved, abolished or demolished date","March 3, 2017"
B08WLJ8WF2,manufacturer,
,manufacturer,Extremerate
B08WLJ8WF2,manufacturer,ps5 Controller BDM-030
ps5 Controller BDM-030,manufacturer,Extremerate
B07TQYRVSZ,platform,
B07TQYRVSZ,platform,2
2,platform,PlayStation 4
B07TQYRVSZ,platform,Flat Out 1
Flat Out 1,platform,PlayStation 4
B08CRMC56N,has part,
,has part,Joy-Con
B08CRMC56N,has part,Switch Lite
Switch Lite,has part,Joy-Con
B078GW3HGR,platform,
B086PN1SLM,subclass of,
,subclass of,switches
B086PN1SLM,subclass of,Blue Switch
Blue Switch,subclass of,switches
B004BV5O0U,platform,
,platform,Sony PSP
B004BV5O0U,platform,Trails in the Sky
Trails in the Sky,platform,Sony PSP
B004BV5O0U,part of the series,
,part of the series,The Legend of Heroes
B004BV5O0U,part of the series,Trails in the Sky
Trails in the Sky,part of the series,The Legend of Heroes
B001ELJEA6,characters,
,characters,Gilderoy Lockhart
B001ELJEA6,present in work,Gilderoy Lockhart
Gilderoy Lockhart,present in work,Harry Potter and the Chamber of Secrets
B0BMLVYQZD,manufacturer,
,manufacturer,PHNIXGAM
B0BMLVYQZD,product or material produced,PHNIXGAM
PHNIXGAM,product or material produced,PHNIXGAM Cat Ear Gaming Cute Headset
B00B5QGJ5S,platform,
B00B5QGJ5S,platform,The Last of Us
The Last of Us,platform,PlayStation 4
B09CG15F86,part of,
,part of,keyboard
B09CG15F86,has part,keyboard
keyboard,has part,Keycap
B09TFCFZJ6,has part,
B09TFCFZJ6,part of,Joy-Con
Joy-Con,part of,Nintendo Switch
B00JYA880G,publication date,
,publication date,"April 26, 2014"
B00JYA880G,publication date,Book Club
Book Club,publication date,"April 26, 2014"
B08P1CB1G2,manufacturer,
,manufacturer,eXtremeRate
B08P1CB1G2,manufacturer,PlayVital
PlayVital,manufacturer,eXtremeRate
B002KE4NVG,genre,
,genre,adventure game
B002KE4NVG,genre,Tales of Monkey Island
Tales of Monkey Island,genre,adventure game
B07PFRQP6F,has part,
,has part,Joy-con
B07PFRQP6F,part of,Joy-con
Joy-con,part of,Nintendo Switch
B001EYUWL8,platform,
,platform,Nintendo DS
B001EYUWL8,platform,Tom Clancy's EndWar
Tom Clancy's EndWar,platform,Nintendo DS
B006M38RX6,publication date,
,publication date,"December 10, 2011"
B006M38RX6,publication date,Shady Pines
Shady Pines,publication date,"December 10, 2011"
,publication date,"December 14, 2011"
Shady Pines,publication date,"December 14, 2011"
B01LP5V5CU,platform,
,platform,Xbox One
B00M3T4KMA,"dissolved, abolished or demolished date",
,"dissolved, abolished or demolished date","July 25, 2014"
B00M3T4KMA,"dissolved, abolished or demolished date",AFUNTA
AFUNTA,"dissolved, abolished or demolished date","July 25, 2014"
B00M3T4KMA,manufacturer,
,manufacturer,AFUNTA
B00M3T4KMA,manufacturer,FBA_Sades 709
FBA_Sades 709,manufacturer,AFUNTA
B000EP3ZLC,genre,
B000EP3ZLC,genre,Dreamfall
Dreamfall,genre,adventure game
B0BLXXGZJL,country,
,country,China
B0BLXXGZJL,country,Mastex
Mastex,country,China
B089QJ3NKP,manufacturer,
,manufacturer,BRHE
B001RNOQLS,publication date,
,publication date,"July 7, 2004"
B001RNOQLS,publication date,Shadow Wireless
Shadow Wireless,publication date,"July 7, 2004"
,publication date,"January 16, 2009"
Shadow Wireless,publication date,"January 16, 2009"
B0B9ZF4VHT,manufacturer,
,manufacturer,Logitech
B0B9ZF4VHT,manufacturer,G923
G923,manufacturer,Logitech
B015Q7IF3U,different from,
,different from,Wii U
B015Q7IF3U,different from,Wii U
Wii U,different from,Wii
B07KXS41QL,manufacturer,
,manufacturer,Nyko
B07KXS41QL,manufacturer,Charge Block Duo
Charge Block Duo,manufacturer,Nyko
B07KXS41QL,inception,
,inception,"June 14, 2016"
