,Topic,Count,Name,Representation,Representative_Docs
0,-1,8,-1_31307_605923470710_package_untangled,"['31307', '605923470710', 'package', 'untangled', 'lightweight', 'upc', 'underarms', 'headband', '68', 'flexible']","['Parent ASIN: B08GC5GSNG; Title: 2PCS Hair Clips Hairpin Headwear Styling Tools Double Layer Twist Plait Tools Hairstyle Hair Twister Clip Multi-Layer Hollow Woven Double Bangs for Knitting Hair; Author: *; Description: *; Features: * - Details: Brand: ZDU, Hair Type: All, Age Range (Description): Adult, Occasion: Wedding, Birthdays, Unit Count: 1.00 Count, Package Dimensions: 4.68 x 2.4 x 1.06 inches; 0.63 Ounces; Store: Store: ZDU; Categories: *; Price: Price: None;', 'Parent ASIN: B07ND4HPHT; Title: Gents of London Design Paste Matt Firm Hold Professional Hair Styling Wax (3 oz); Author: *; Description: *; Features: * - Details: Hair Type: All, Scent: Aloe, Liquid Volume: 3 Fluid Ounces, Item Form: Wax, Brand: GENTS OF LONDON; Store: Store: GENTS OF LONDON; Categories: *; Price: Price: None;', ""Parent ASIN: B08PLFZB89; Title: Got2b Glued Spray Wax with 2-in-1 Dual Nozzle, 8 oz; Author: *; Description: Description: 'The first dual-finish spray wax has officially hit the shelves! The got2b glued Spray Wax provides two looks with one product. So whether you want flexible texture or structured hold, this product has you covered! Best of all, this lightweight formula doesn’t leave your hair feeling sticky or crunchy. Create your own look and style. Turn to position 1 for flexible texture, turn to position 2 for structured hold. Be whoever you want 2b with got2b glued Spray Wax!'; Features: Features: 'One product for two different looks', 'Customize your hold by turning the dual actuator', 'Turn to position 1 for flexible texture', 'Turn to position 2 for structured hold', Lightweight formula that doesn't leave your hair feeling sticky or crunchy - Details: Product Benefits: Firm Hold, Hair Type: All, Scent: Unscented, Liquid Volume: 8 Fluid Ounces, Item Form: Wax, Product Dimensions: 2 x 2 x 8.38 inches; 9.87 Ounces, Item model number: 31307, UPC: 017000313078, Manufacturer: AmazonUs/DIAW7, Country of Origin: USA; Store: Store: Got2B; Categories: *; Price: Price: 6.47;""]"
1,0,143,0_discontinued_moisturizer_moisturizing_skincare,"['discontinued', 'moisturizer', 'moisturizing', 'skincare', 'exfoliating', 'cleanser', 'hyaluronic', 'upc', 'lotion', 'package']","['Parent ASIN: B07MZT83KK; Title: EASYDEW Starter Soft Conditioning Face Wash 6.76 fl oz - Soothing and Moisturizing Face Wash with Ceramides, Hydrogen Water & DW-EGF I Deep Pore Cleanser & Hypoallergenic Gentle Makeup Remover; Author: *; Description: *; Features: * - Details: Item Form: Cream, Skin Type: Sensitive,All Skin Types, Brand: EASYDEW, Material Feature: Hypoallergenic, Natural, Age Range (Description): Adult, Is Discontinued By Manufacturer: No, Package Dimensions: 7.01 x 1.97 x 1.97 inches; 9.17 Ounces; Store: Store: EASYDEW; Categories: *; Price: Price: None;', 'Parent ASIN: B01M24DUXH; Title: Spanature Olive Hand & Body Lotion Travel Size Selection, 4 Pack, Revitalizing Moisturizer for Rough and Dry Skin, Nourishing and Gentle for All Skin Types, Made In Korea - 75 ml/2.53oz; Author: *; Description: *; Features: * - Details: Brand: Spanature, Item Form: Lotion, Unit Count: 1.00 Count, Number of Items: 4, Use for: Hands, Is Discontinued By Manufacturer: No, Package Dimensions: 6.1 x 1.89 x 1.5 inches; 2.4 Ounces; Store: Store: Spanature; Categories: *; Price: Price: None;', 'Parent ASIN: B01N7A5AGF; Title: Easydew EX Repair Control Renewal Moisture 1.70 fl.oz.; Author: *; Description: *; Features: * - Details: Brand: EASYDEW, Item Form: Cream, Unit Count: 1.7 Fl Oz, Number of Items: 1, Skin Type: Sensitive,All Skin Types, Is Discontinued By Manufacturer: No, Package Dimensions: 6.69 x 2.87 x 2.52 inches; 3.53 Ounces; Store: Store: EASYDEW; Categories: *; Price: Price: None;']"
2,1,43,1_discontinued_package_upc_glossy,"['discontinued', 'package', 'upc', 'glossy', 'acrylic', 'lasting', 'decoration', 'shimmery', '59', 'glitter']","['Parent ASIN: B08GKVYS1Y; Title: JIADEL Gel Nail Polish Colors Set,Confetti Glitter Gel Nail Polish With No Wipe Base and Top Coat,Soak Off UV LED Nail Art Salon Starter Manicure Kit; Author: *; Description: *; Features: * - Details: Brand: JIADEL, Item Form: Gel, Type: Gel, Finish Type: Shimmery, Material Feature: Non-Toxic, Cruelty Free, Age Range (Description): Adult, Unit Count: 1 Count, Number of Items: 16, Liquid Volume: 0.17 Fluid Ounces, Item Dimensions LxWxH: 11 x 9 x 1 inches, Product Dimensions: 11 x 9 x 1 inches; 1.34 Pounds, UPC: 642940399488; Store: Store: JIADEL; Categories: *; Price: Price: None;', 'Parent ASIN: B0876VC4KM; Title: Gel Nail Polish Set, Holiday Red Black 6 Colors Gel Polish Kit Popular Nail Art Design Soak Off LED Lamp Nail Polish Gel Manicure Kit Gifts Set for Girls Women Professional DIY Home Use; Author: *; Description: *; Features: * - Details: Brand: Anzuo, Item Form: Gel, Type: gel, Finish Type: Shimmery, Special Feature: Long Lasting, Material Feature: Non-Toxic, Cruelty Free, Age Range (Description): Adult, Unit Count: 6.00 Count, Number of Items: 6, Package Dimensions: 5.4 x 3.7 x 3.3 inches; 8.78 Ounces, Item model number: FZ, UPC: 738626208554; Store: Store: Anzuo; Categories: *; Price: Price: None;', 'Parent ASIN: B08CVCLVS2; Title: Gel Nail Polish Set, Glitter 6 Colors Gel Polish Kit Popular Nail Art Design Soak Off LED Lamp Nail Polish Gel Manicure Kit Gifts Set for Girls Women Professional DIY Home Use; Author: *; Description: *; Features: * - Details: Brand: Anzuo, Item Form: Gel, Type: gel, Finish Type: Shimmery, Special Feature: Long Lasting, Material Feature: Non-Toxic, Cruelty Free, Age Range (Description): Adult, Unit Count: 6.00 Count, Number of Items: 6, Number of Pieces: 6, Product Dimensions: 5.12 x 3.15 x 3.54 inches; 10.23 Ounces; Store: Store: Anzuo; Categories: *; Price: Price: None;']"
3,2,32,2_eyelashes_beauty_wipes_makeup,"['eyelashes', 'beauty', 'wipes', 'makeup', 'formulated', 'sunscreen', 'shampoo', 'gentle', 'beard', 'eyeliner']","[""Parent ASIN: B085J354CL; Title: Mr. Pristine Organic Beard Conditioner to Grow, Thicken, Moisturize and Protect Your Beard, 8.5 oz.; Author: *; Description: *; Features: Features: 'HEALTHY PRODUCT: Formulated to aid in healthy beard growth, this beard shampoo and conditioner kit hydrates, cleans and softens, giving your beard shine and life. We make our beard conditioner with our top Beard Oil to provide you with the deepest miniaturization and best beard growth conditioner possible. Say goodbye to itchy irritated skin and get rid of beard dandruff!', '100% ALL NATURAL: Our beard balm is made of the highest quality natural ingredients and gives non-greasy balm in all day to condition and soften your beard. Mr. Pristine beard conditioner is designed to help new hair to grow in hair follicles. When sebum and debris get caught in your beard follicles, it can clog things up and prevent hair growth. It penetrates with vitamins to nourish the skin and keep beard growing as it should.', 'BEST USE: Apply the desired amount and massage directly into beard until evenly distributed either in the shower or over a sink. Let the conditioner stay in the beard for 2-4 minutes. Then risen well with warm water. Do this in your daily grooming routine to maintain a fresh, well-managed look and watch the head-turning results.', 'PERFECT MEN’S GIFT IDEA: Have you been trying to change how your beard look and feel? Then it would be best if you gifted yourself Mr. Pristine Beard Conditioner. Perfect gift for Birthdays, Christmas, and other Holidays for any handyman, father, boyfriend, men, or husband. Change how they look and feel as you share the love with men in your life!', 100% SATISFACTION GUARANTEED: Satisfaction guaranteed, No more beardruff, and more dry, frizzy, and flaky to touch beard and, most importantly, no ingredients that are harsh on your skin! If for any reason you're not 100% satisfied, we will REFUND your money or send you a pair of new replacements without any BS. Please don't hesitate to contact us; we will always be here if you need us. - Details: Brand: Mr. Pristine, Material Feature: Natural, Hair Type: Dry, Age Range (Description): Adult, Unit Count: 8.5 Fl Oz, Package Dimensions: 3.1 x 2.5 x 2.36 inches; 7.76 Ounces, UPC: 627843801825, Manufacturer: Mr. Pristine; Store: Store: Mr. Pristine; Categories: *; Price: Price: None;"", ""Parent ASIN: B085J24382; Title: Mr. Pristine Organic Beard Shampoo with Natural Essential Oils for Moisturizing Skin & Hair, 8.5 oz.; Author: *; Description: *; Features: Features: 'TAME YOUR BEARD: MR. Pristine Beard Shampoo is packed full of carefully selected ingredients that melt quickly into the skin, leaving it thoroughly hydrated and replenished. Every bottle will leave your facial hair stubble clean and fresh without irritation on the skin; you will have a healthy, soft & well-conditioned beard. Ideal for everyday use with all kinds of beards from stubble to long or thick beards.', 'NATURAL INGREDIENTS: This beard maintenance shampoo is made with green tea, peppermint, and chamomile to give you the deepest miniaturization and best beard growth conditioner possible. It helps manage even the straggliest beard!', 'BEST USE: Apply the desired amount and massage directly into beard until evenly distributed either in the shower or over a sink. Let conditioner stay in the beard for 2-4 minutes. Then risen well with warm water. Do this in your daily grooming routine to maintain a fresh, well-managed look and watch the head-turning results.', 'MADE FOR MEN: For far too long, men have had to choose their grooming products from brands that specialize in women’s beauty; our products were formulated exclusively for men to help them look & smell their best with an aromatic scent that doesn’t overpower. We guarantee you’ll love the scent!', 'SATISFACTION GUARANTEE: MR. Pristine is a small owned company right here in Canada, which started as we were looking for products to improve our beards. Every product we make goes through vigorous testing to ensure every customer gets the best, and we can guarantee 100% satisfaction with your purchase. If for any reason you are not satisfied, please don’t hesitate to contact us and we will fully refund your money, no question asked.' - Details: Brand: Mr. Pristine, Item Form: Liquid, Hair Type: Color Treated, Scent: Peppermint, Age Range (Description): Adult, Package Dimensions: 5.21 x 2.8 x 2.3 inches; 7.76 Ounces, UPC: 627843801832, Manufacturer: Mr. Pristine; Store: Store: Mr. Pristine; Categories: *; Price: Price: None;"", 'Parent ASIN: B07J3GH1W1; Title: Manicure and Pedicure Nail Clipper from POWERGROOMING - Powerful Trimmer for Thick and Thin Finger Nails and Toe Nails - Included Nail File and""Catcher"" for Easy Cleanup (1 Pack); Author: *; Description: *; Features: Features: A BETTER BUILD - We\'ve seen the complaints when it comes to craftsmanship, so we\'ve made absolutely sure to put our best foot forward here with these remarkable fingernail and toenail clippers! Designed with superior stainless steel and a precision cutting edge, you can rely on this clipper for years to come. No squeaks, creaks, rust, or hassle; simply a better grooming tool for you and your family!, ANY NAIL, ANYTIME - No matter if you have naturally thick and hearty nails or not, our clippers offer a smooth, clean cut with no jagged edges or nail splitting or cracking. It\'s an awesome grooming tool for both men and women, and even your babies and little ones! At POWERGROOMING, we believe in quality first, and our premium nail trimmers are no different., NO SLIP GRIP - Designed with the user in mind, our nail trimmers are built with an ergonomic design, ensuring a steady clean cut without losing your grip! It\'s the best choice to trim the squirmy little one\'s nails, and nothing beats us for at home DIY manicures and pedicures. Our remarkable set even includes a gorgeous and durable leather travel case! Everything ready-packed in a gift box for special occasions such as Christmas and birthdays., GOTTA CATCH THEM ALL - No muss, no fuss! Every one of our top quality grooming sets comes with an included nail catcher, so you don\'t have to go hunting for those pesky nail shards. Simply remove the attached catcher, and dump it in the trash. NOTHING could be easier. With POWERGROOMING, you\'ll get nothing but top-tier quality and convenience to boot., 100% GUARANTEED - Our customers are the most crucial part of our business, and that\'s a fact. We take pride in providing one of the very best available grooming kits for men and women, but we know that having protection on your investment is just as important, that that\'s why we offer a no hassle SATISFACTION GUARANTEE on every kit we sell. If for any reason you are unsatisfied with your order, all you have to do is let us know, and we\'ll be there to make it right! - Details: Brand: POWERGROOMING, Material: Stainless Steel, Blade Edge: Straight, Blade Material: Stainless Steel, Target Audience: Women, Men, Package Dimensions: 3.8 x 1.3 x 1 inches; 3.21 Ounces, UPC: 653233212735, Manufacturer: POWERGROOMING; Store: Store: POWERGROOMING; Categories: *; Price: Price: None;']"
4,3,25,3_headbands_accessories_headband_amtidy,"['headbands', 'accessories', 'headband', 'amtidy', 'headwear', '10', 'scrunchies', '15', '51', 'rubber']","['Parent ASIN: B086N2SY91; Title: QTMY Wide Headbands Fashion Women Baroque Crystal Gemstone Hair Accessories Head Band Fashion Headwear Hairbands for Women; Author: *; Description: *; Features: * - Details: Age Range (Description): Adult, Occasion: Wedding, Birthday, Material: Plastic, Number of Items: 1, Brand: QTMY, Is Discontinued By Manufacturer: No, Package Dimensions: 6.5 x 5.94 x 1.97 inches; 5.61 Ounces, Item model number: ZJ; Store: Store: QTMY; Categories: *; Price: Price: None;', 'Parent ASIN: B08G149DSD; Title: Nxconsu 8Pcs Rhinestone Headbands for Women Girls Teens Kids Fashion Comfort No Hurting Hair Accessories Thin Hair Bands Crystal Exquisite Color Selection; Author: *; Description: *; Features: * - Details: Age Range (Description): Child, Occasion: Wedding, Birthday, Material: Silk, Cotton, Fabric Type: Rhinestone, Number of Items: 1, Package Dimensions: 8.15 x 6.77 x 1.54 inches; 8.5 Ounces; Store: Store: Nxconsu; Categories: *; Price: Price: None;', ""Parent ASIN: B0895XPZNT; Title: QTMY Fashion Rhinestone Flower Headband,Wide Hair Hoop for Women,Hair Accessories Head Band Headwear,White; Author: *; Description: Description: 'QTMY Fashion Rhinestone Flower Headband,Wide Hair Hoop for Women,Hair Accessories Head Band Headwear,White'; Features: * - Details: Color: White, Age Range (Description): Adult, Occasion: Wedding, Material: Pearl, Fabric Type: Velvet, Is Discontinued By Manufacturer: No, Package Dimensions: 5.79 x 5.51 x 1.69 inches; 4.59 Ounces; Store: Store: QTMY; Categories: *; Price: Price: None;""]"
5,4,24,4_eyelashes_eyeshadow_eyeliner_eyelash,"['eyelashes', 'eyeshadow', 'eyeliner', 'eyelash', 'upc', '39', 'makeup', 'fragrantshare', 'package', 'aesfee']","['Parent ASIN: B087GD4BJ1; Title: Magnetic Eyelashes and Magnetic Eyeliner Kit, Magnetic Eyelashes with Eyeliner, 5 Pairs Reusable Magnetic Eyelashes with Tweezer, False Lashes; Author: *; Description: *; Features: * - Details: Brand: Eyenjoy, Item Dimensions LxWxH: 5.71 x 5.39 x 0.71 inches, Material Feature: Natural, Item Form: Pair, Mounting Type: Magnet, Product Dimensions: 5.71 x 5.39 x 0.71 inches; 2.12 Ounces, UPC: 736067423758; Store: Store: Eyenjoy; Categories: *; Price: Price: None;', 'Parent ASIN: B08DNCR582; Title: Magnetic Eyelashes Kit,Magnetic Eyelashes and Eyeliner Kit,with Most Natural Look,12 Pairs Magnetic Eyelashes & 3 Magnetic Eyeliner,Reusable Magnetic Eyelashes,No Glue Need; Author: *; Description: *; Features: * - Details: Brand: STRONGLO, Item Dimensions LxWxH: 6.22 x 5.91 x 1.38 inches, Material Feature: Glue Free, Item Form: Pair, Mounting Type: Eyelash Glue, Product Dimensions: 6.22 x 5.91 x 1.38 inches; 3.21 Ounces; Store: Store: STRONGLO; Categories: *; Price: Price: None;', 'Parent ASIN: B08KJF6Y6C; Title: UJM Magnetic Eyelashes 10 Pairs Reusable Magnetic Eyelash and Eyeliner Kit Natural Look False Lashes with Tweezers No Glue Needed Waterproof Magnetic Lashes; Author: *; Description: *; Features: * - Details: Brand: UJM, Item Dimensions LxWxH: 8 x 4 x 0.4 inches, Material Feature: Gluten Free, Item Form: Pair, Mounting Type: Eyelash Glue, Product Dimensions: 8 x 4 x 0.4 inches; 2.89 Ounces, Item model number: UJM-010; Store: Store: UJM; Categories: *; Price: Price: None;']"
6,5,13,5_2oz_refillable_bottle_36,"['2oz', 'refillable', 'bottle', '36', 'bottles', '10', 'adjustable', 'upc', 'package', 'dispenser']","['Parent ASIN: B08693T3XR; Title: 6 Pack Spray Bottles,Empty Plastic Clear Small Transparent Travel Bottles Pump Bottle Lotion Dispenser Bottle Set,Refillable Liquid Containers 3oz and 2 oz; Author: *; Description: *; Features: * - Details: Package Dimensions: 8.98 x 6.14 x 1.1 inches; 0.81 Ounces; Store: Store: Cehomi; Categories: *; Price: Price: None;', 'Parent ASIN: B089CSF11Y; Title: Empty Brown Glass Spray Bottles2-Pack, Refillable 16 oz Containers for Essential Oils, Cleaning Products, Aromatherapy, Misting Plants, or Cooking - Reliable Sprayer with Mist and Stream Settings; Author: *; Description: *; Features: * - Details: Brand: Cherry, Material: Glass, Capacity: 16 Ounces, Number of Items: 2, Product Care Instructions: Hand Wash Only, Package Dimensions: 9.09 x 6.46 x 3.35 inches; 4.94 Ounces, UPC: 791523234187; Store: Store: Cherry; Categories: *; Price: Price: None;', 'Parent ASIN: B089CSR3KF; Title: Empty Clear Glass Spray Bottles 2-PACK,Refillable 16 oz Containers for Essential Oils, Cleaning Products, Aromatherapy, Misting Plants, or Cooking - Reliable Sprayer with Mist Settings; Author: *; Description: *; Features: * - Details: Brand: Cherry, Material: Glass, Capacity: 16 Ounces, Number of Items: 2, Special Feature: Mist Spray, Package Dimensions: 10 x 6.5 x 3.4 inches; 1.4 Pounds, UPC: 791523234156; Store: Store: Cherry; Categories: *; Price: Price: None;']"
7,6,13,6_package_08_34_10,"['package', '08', '34', '10', '97', '43', '20', 'diffuser', 'henna', 'baasha']","['Parent ASIN: B082MDFNZM; Title: Baasha 4 Pcs Paddle Brush Set, Detangling Brush and Hair Comb Set, Thick Hair Brush Set for Men & Women, No More Tangle Hairbrush Comb Set, Hair Care Gift Set Hair Brush Comb Set; Author: *; Description: *; Features: * - Details: Brand: Baasha, Shape: Rectangular, Handle Material: Rubber, Plastic, Product Benefits: Detangle, Unit Count: 1.00 Count, Package Dimensions: 10.2 x 3.43 x 2.01 inches; 7.34 Ounces; Store: Store: Baasha; Categories: *; Price: Price: None;', 'Parent ASIN: B088PYN4VM; Title: Cutting Scissors Set 10 Pcs Professional Hairdressing Scissors Kit, Hair Cutting Scissors, Thinning Shears, Hair Razor Comb, Clips, Cape, Shears Kit for Home, Salon, Barber; Author: *; Description: *; Features: * - Details: Brand: P.travel, Included Components: Scissors, Unit Count: 1 Count, Blade Material: Stainless Steel, Package Dimensions: 11.2 x 5.5 x 1.5 inches; 11.22 Ounces, UPC: 740646020214, Manufacturer: P.travel; Store: Store: P.travel; Categories: *; Price: Price: None;', 'Parent ASIN: B08BLKFGND; Title: YsesoAi 28 Pcs Hair Curlers Spiral Curls No Heat Wave Hair Curlers Styling Kit Spiral Hair Curlers Magic Hair Rollers with 2 Pieces Styling Hooks for Most Kinds of Hairstyles (20 cm/ 7.8 inches); Author: *; Description: *; Features: * - Details: Hair Type: Curly, Brand: YsesoAi, Color: Pink, Blue, Ivory, Yellow, Green, Item Dimensions LxWxH: 1.5 x 1.7 x 1.1 inches, Unit Count: 1.00 Count, Product Dimensions: 1.5 x 1.7 x 1.1 inches; 6.38 Ounces, UPC: 745895771436; Store: Store: YsesoAi; Categories: *; Price: Price: None;']"
8,7,13,7_package_wellution_upc_10,"['package', 'wellution', 'upc', '10', 'shampoo', '32', 'waxnow', 'revitalizes', 'conditioner', 'extendé']","['Parent ASIN: B087ZQG11L; Title: Maya Mari -\xa0 Castor Oil Shampoo for Women, Strengthening and Moisturizing Shampoo for Coarse, Textured, and Curly Hair, 32 oz; Author: *; Description: *; Features: * - Details: Brand: MAYA MARI, Item Form: Liquid, Hair Type: Damaged Hair,Curly Hair, Age Range (Description): Adult, Material Type Free: Paraben Free, Product Dimensions: 4 x 8 x 11 inches; 2 Pounds, Item model number: MMCACCSP, UPC: 850004068229, Manufacturer: HGI Brands; Store: Store: MAYA MARI; Categories: *; Price: Price: None;', 'Parent ASIN: B08GMC48QF; Title: Purple Shampoo and Conditioner Set - Blonde Shampoo - Made in USA - Purple Hair Silver Shampoo - Hair Toner Shampoo & Conditioner for Brassy Hair - Purple Toning Shampoo & Overtone Conditioner; Author: *; Description: *; Features: * - Details: Product Benefits: Hydrating,Shine,Nourishing, Brand: WELLUTION, Hair Type: Curly, Scent: Natural, Number of Items: 2, Package Dimensions: 7.5 x 3.8 x 2 inches; 1.2 Pounds, UPC: 749715278457; Store: Store: WELLUTION; Categories: *; Price: Price: None;', ""Parent ASIN: B08XJWLLKQ; Title: John Frieda Detox and Repair Shampoo and Conditioner Set with Nourishing Avocado Oil and Green Tea, 8.45 Fl Oz (Pack of 2); Author: *; Description: Description: 'John Frieda Detox and Repair Shampoo and Conditioner set removes product build up and revitalizes dry and stressed hair. Detox and Repair moisturizes and cleanses damaged hair and leaves hair visibly healthy and repaired. With antioxidant rich green tea and nourishing avocado oil. Your hair is exposed to many daily challenges that could make it look stressed and lifeless. Styling, product build up, and environmental influences can strain hair and can reduce the effect of caring ingredients. With antioxidant rich green tea and nourishing avocado oil, John Frieda Detox and Repair removes product build up and revitalizes hair immediately. The result: Repaired and healthy looking hair with silky shine. Satisfaction Guaranteed. Limitations may apply.'; Features: Features: 'REMOVE BUILD UP - John Frieda Detox and Repair Shampoo and Conditioner set provide stressed hair with rich nutrients and revitalizes hair immediately.' - Details: Product Benefits: Detoxifying, Brand: John Frieda, Hair Type: All, Dry, Number of Items: 2, Unit Count: 16.9 Fl Oz, Product Dimensions: 3 x 3.8 x 9.06 inches; 8.45 Ounces, UPC: 717226276545; Store: Store: John Frieda; Categories: *; Price: Price: None;""]"
9,8,10,8_wigs_package_braids_crochet,"['wigs', 'package', 'braids', 'crochet', '57', '72', '10', 'amajulie', 'upc', '43']","['Parent ASIN: B085MCMZLX; Title: EMMOR Long Ombre Brown Wig for Women - 23 Inch Natural Synthetic Straight Hair Middle Part With Air Bang Wigs Dark Root, Party Cosplay Daily Use; Author: *; Description: *; Features: * - Details: Material: Human Hair, Hair Type: Curly, Style: Modern, Brand: EMMOR, Age Range (Description): Adult, Package Dimensions: 13.5 x 9.72 x 2.2 inches; 11.68 Ounces, Item model number: femlc169-1; Store: Store: EMMOR; Categories: *; Price: Price: None;', 'Parent ASIN: B08LG68MGH; Title: Beauhair Lace Front Wigs Human Hair Pre Plucked Brazilian Deep Wave 13x4 Lace Frontal Wig with Baby Hair 9A Natural Hair Wigs for Black Women(16, Deep Wigs); Author: *; Description: *; Features: * - Details: Material: Human Hair, Hair Type: Wavy, Style: Modern, Brand: Beauhair, Age Range (Description): Adult, Package Dimensions: 9.61 x 6.18 x 2.52 inches; 8.78 Ounces; Store: Store: Beauhair; Categories: *; Price: Price: None;', 'Parent ASIN: B0863FZFPV; Title: NOBLE Wigs for White Women Purple Lace Wigs for Black Women 27 Inch Long Curly Wavy Colored Wigs Middle Part Heat Resistant Synthetic Ombre Purple Wavy Wigs for Daily Party Cosplay Use; Author: *; Description: *; Features: * - Details: Material: Human Hair, Hair Type: Wavy, Style: Modern, Special Feature: Heat Resistant, Brand: NOBLE, Package Dimensions: 13.78 x 7.76 x 2.44 inches; 14.07 Ounces; Store: Store: NOBLE; Categories: *; Price: Price: None;']"
