head,relation,tail
Product details,is parent of,Bottle features
Bottle features,is parent of,Size package
Bottle features,is parent of,Ounces bottle
Bottle features,is parent of,Package dimensions
Product details,is parent of,Toothbrush set
Toothbrush set,is parent of,Enhances brushing
Toothbrush set,is parent of,Comprising combs
Toothbrush set,is parent of,Toothbrush set
Toothbrush set,is parent of,Jpnk comb
Toothbrush set,is parent of,Hair unit
Product details,is parent of,Brand ingredients
Brand ingredients,is parent of,Almond coconut
B08LYT4Q2X,related to,Product details
B08LYT4Q2X,related to,Brand ingredients
B08LYT4Q2X,related to,Hair unit
B08LYT4Q2X,related to,Size package
B08LYT4Q2X,related to,Package dimensions
B08LYT4Q2X,related to,Almond coconut
B089CSF11Y,related to,Bottle features
B089CSF11Y,related to,Ounces bottle
B089CSF11Y,related to,Size package
B089CSF11Y,related to,Package dimensions
B081ZN3TD5,related to,Toothbrush set
B081ZN3TD5,related to,Enhances brushing
B081ZN3TD5,related to,Comprising combs
B081ZN3TD5,related to,Jpnk comb
B081ZN3TD5,related to,Hair unit
B08WF29DM9,related to,Ounces bottle
B08HMLXW65,related to,Hair unit
