,Technique,Hops,Num Nodes,Num Edges,Density,Average Degree,Max Degree,Num Users,Num Items,Num Entities,Num Relations
0,all-MiniLM-L6-v2,3,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
1,all-MiniLM-L6-v2,6,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
2,all-MiniLM-L6-v2,9,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
3,intfloat/multilingual-e5-large-instruct,3,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
4,intfloat/multilingual-e5-large-instruct,6,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
5,intfloat/multilingual-e5-large-instruct,9,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
6,Alibaba-NLP/gte-Qwen2-1.5B-instruct,3,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
7,Alibaba-NLP/gte-Qwen2-1.5B-instruct,6,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
8,Alibaba-NLP/gte-Qwen2-1.5B-instruct,9,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
9,gemma3,3,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
10,gemma3,6,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
11,gemma3,9,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
12,ner,3,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
13,ner,6,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
14,ner,9,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
15,baseline,3,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
16,baseline,6,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
17,baseline,9,576,4518,0.013641304347826087,15.6875,124,252,575,576,3
